,age,prob_m,num_m,expectancy_m,prob_f,num_f,expectancy_f,all,pdf
0,0,0.006383,100000,76.15,0.005374,100000,80.97,1175.6999999999998,0.005878554441380858
1,1,0.000453,99362,75.63,0.00035299999999999996,99463,80.41,80.121425,0.0004006108350629527
2,2,0.00028199999999999997,99317,74.67,0.000231,99427,79.44,50.975031,0.0002548775154244935
3,3,0.00022999999999999998,99289,73.69,0.000165,99405,78.45,39.238294999999994,0.0001961932919490196
4,4,0.000169,99266,72.71,0.000129,99388,77.47,29.597006,0.00014798640050427486
5,5,0.000155,99249,71.72,0.00011599999999999999,99375,76.48,26.911094999999996,0.00013455672113181272
6,6,0.000145,99234,70.73,0.00010700000000000001,99364,75.48,25.020878000000003,0.00012510554860436222
7,7,0.000135,99219,69.74,0.000101,99353,74.49,23.429218,0.00011714717490174396
8,8,0.00011999999999999999,99206,68.75,9.6e-05,99343,73.5,21.441648,0.00010720923286631371
9,9,0.000105,99194,67.76,9.2e-05,99334,72.51,19.554098000000003,9.777139546235996e-05
10,10,9.4e-05,99184,66.76,9.1e-05,99325,71.51,18.361871,9.181020525568802e-05
11,11,9.9e-05,99174,65.77,9.6e-05,99316,70.52,19.352562,9.676370613013392e-05
12,12,0.000134,99164,64.78,0.00011100000000000001,99306,69.53,24.310942000000004,0.00012155583573041805
13,13,0.000207,99151,63.79,0.000138,99295,68.53,34.226967,0.00017113641989695172
14,14,0.000309,99131,62.8,0.000174,99281,67.54,47.906373,0.00023953408332873873
15,15,0.00041900000000000005,99100,61.82,0.00021400000000000002,99264,66.56,62.76539600000001,0.0003138298863832853
16,16,0.00053,99059,60.84,0.000254,99243,65.57,77.708992,0.0003885485583540271
17,17,0.000655,99006,59.88,0.000294,99217,64.59,94.018728,0.00047009799358457003
18,18,0.000791,98941,58.91,0.00033,99188,63.61,110.994371,0.0005549769946502721
19,19,0.0009339999999999999,98863,57.96,0.000364,99156,62.63,128.430826,0.000642160077054106
20,20,0.001085,98771,57.01,0.000399,99120,61.65,146.715415,0.0007335838687312121
21,21,0.001228,98663,56.08,0.000436,99080,60.67,164.357044,0.0008217928306357313
22,22,0.0013390000000000001,98542,55.14,0.000469,99037,59.7,178.396091,0.0008919887157208761
23,23,0.001403,98410,54.22,0.0004969999999999999,98990,58.73,187.26726,0.0009363449715048262
24,24,0.001433,98272,53.29,0.000522,98941,57.76,192.470978,0.0009623638024656101
25,25,0.001451,98131,52.37,0.000546,98890,56.79,196.382021,0.0009819191985684266
26,26,0.001475,97989,51.44,0.000572,98836,55.82,201.067967,0.0010053491455535172
27,27,0.0015019999999999999,97844,50.52,0.000604,98779,54.85,206.624204,0.0010331305878378708
28,28,0.001538,97698,49.59,0.000644,98719,53.88,213.83456,0.0010691827017170383
29,29,0.0015810000000000002,97547,48.67,0.0006900000000000001,98656,52.92,222.29444700000002,0.0011114825284563683
30,30,0.001626,97393,47.75,0.00074,98588,51.95,231.316138,0.0011565914012103154
31,31,0.0016690000000000001,97235,46.82,0.000792,98515,50.99,240.309095,0.0012015566026337204
32,32,0.0017120000000000002,97072,45.9,0.0008410000000000001,98437,50.03,248.97278100000005,0.0012448754338100659
33,33,0.001755,96906,44.98,0.000886,98354,49.07,257.211674,0.001286070280316157
34,34,0.0018,96736,44.06,0.0009289999999999999,98267,48.11,265.414843,0.0013270865051680308
35,35,0.001855,96562,43.14,0.000977,98175,47.16,275.039485,0.0013752101608419276
36,36,0.0019199999999999998,96383,42.22,0.001034,98080,46.2,286.47008,0.0014323636651413882
37,37,0.0019879999999999997,96198,41.3,0.001098,97978,45.25,298.821468,0.0014941211770786325
38,38,0.00206,96006,40.38,0.0011710000000000002,97870,44.3,312.37813000000006,0.0015619051148266971
39,39,0.002141,95809,39.46,0.001253,97756,43.35,327.615337,0.001638091855393244
40,40,0.00224,95603,38.54,0.001347,97633,42.41,345.662371,0.0017283278610702461
41,41,0.002362,95389,37.63,0.001452,97502,41.46,366.88172199999997,0.0018344255986429852
42,42,0.002509,95164,36.72,0.0015710000000000001,97360,40.52,391.71903599999996,0.0019586133187473238
43,43,0.002684,94925,35.81,0.0017059999999999998,97207,39.59,420.613842,0.002103088686735874
44,44,0.0028899999999999998,94671,34.9,0.001857,97041,38.65,453.80432699999994,0.002269042648638004
45,45,0.003121,94397,34.0,0.002022,96861,37.72,490.465979,0.0024523526062742718
46,46,0.003386,94102,33.11,0.002204,96665,36.8,531.679032,0.0026584197796654554
47,47,0.0037070000000000002,93784,32.22,0.002411,96452,35.88,580.20306,0.0029010421665950207
48,48,0.004091,93436,31.34,0.002648,96220,34.96,637.037236,0.003185215678330175
49,49,0.004531,93054,30.46,0.0029100000000000003,95965,34.06,700.885824,0.0035044615748712113
50,50,0.005013,92632,29.6,0.003193,95686,33.15,769.8896139999999,0.003849483720126474
51,51,0.005524,92168,28.75,0.0034909999999999997,95380,32.26,842.107612,0.0042105770542172575
52,52,0.006059,91659,27.9,0.0038009999999999997,95047,31.37,916.635528,0.004583220085269958
53,53,0.006611,91103,27.07,0.004118999999999999,94686,30.49,992.2935669999999,0.0049615137836535724
54,54,0.007187000000000001,90501,26.25,0.004449,94296,29.61,1069.953591,0.005349817499740112
55,55,0.0078,89851,25.43,0.0048130000000000004,93877,28.74,1152.667801,0.005763392379863281
56,56,0.008456,89150,24.63,0.005201,93425,27.88,1239.755825,0.00619883653251811
57,57,0.009144,88396,23.83,0.005582999999999999,92939,27.02,1327.171461,0.0066359187603431775
58,58,0.009865,87588,23.05,0.005952000000000001,92420,26.17,1414.13946,0.007070762782440189
59,59,0.010622,86724,22.27,0.006325,91870,25.32,1502.260078,0.007511369952909804
